route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
860280,20163512multiint-0000010,48941529-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941494-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941531-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941496-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860030,20163512multiint-0000010,48939239-20163512multiint-0000010,"Sainte-Odile (Nord)",,0,,00300122,2
860030,20163512multiint-0000010,48939278-20163512multiint-0000010,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
860280,20163512multiint-0000010,48941535-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941512-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800025,2
860030,20163512multiint-0000010,48939243-20163512multiint-0000010,"Sainte-Odile (Nord)",,0,,00300122,2
860030,20163512multiint-0000010,48939282-20163512multiint-0000010,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
860280,20163512multiint-0000010,48941551-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800028,2
860280,20163512multiint-0000010,48941516-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800025,2
860280,20163512multiint-0000010,48941553-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800028,2
860280,20163512multiint-0000010,48941518-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800025,2
860030,20163512multiint-0000010,48939249-20163512multiint-0000010,"Sainte-Odile (Nord)",,0,,00300122,2
860030,20163512multiint-0000010,48939288-20163512multiint-0000010,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
860030,20163512multiint-0000010,48939252-20163512multiint-0000010,"Sainte-Odile (Nord)",,0,,00300122,2
860030,20163512multiint-0000010,48939291-20163512multiint-0000010,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
860280,20163512multiint-0000010,48941560-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800028,2
860280,20163512multiint-0000010,48941500-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860030,20163512multiint-0000010,48939256-20163512multiint-0000010,"Sainte-Odile (Nord)",,0,,00300122,2
860030,20163512multiint-0000010,48939295-20163512multiint-0000010,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
860280,20163512multiint-0000010,48941539-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941504-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941541-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941506-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941543-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941508-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941545-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941510-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860530,20163512multiint-0000010,48940335-20163512multiint-0000010,"Montmorency / Courville (Est)",,0,,05300214,2
860500,20163512multiint-0000010,48940265-20163512multiint-0000010,"Boischatel (Est)",,0,,05000186,2
860280,20163512multiint-0000010,48941489-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941526-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941491-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941528-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941493-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941530-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941495-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860870,20163511multiint-0000010,48939348-20163511multiint-0000010,"Loretteville (Nord)",,0,,08700650,2
860750,20163511multiint-0000010,48939444-20163511multiint-0000010,"Loretteville (Nord)",,0,,07500124,2
860750,20163511multiint-0000010,48939411-20163511multiint-0000010,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860750,20163511multiint-0000010,48939448-20163511multiint-0000010,"Loretteville (Nord)",,0,,07500124,2
860750,20163511multiint-0000010,48939415-20163511multiint-0000010,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860750,20163511multiint-0000010,48939452-20163511multiint-0000010,"Loretteville (Nord)",,0,,07500124,2
860140,20163511multiint-0000010,48940024-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
860140,20163511multiint-0000010,48940041-20163511multiint-0000010,"Cap-Rouge (Ouest)",,1,,01400100,2
860140,20163511multiint-0000010,48940025-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
860140,20163511multiint-0000010,48940042-20163511multiint-0000010,"Cap-Rouge (Ouest)",,1,,01400100,2
860140,20163511multiint-0000010,48940026-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
860140,20163511multiint-0000010,48940043-20163511multiint-0000010,"Cap-Rouge (Ouest)",,1,,01400100,2
860140,20163511multiint-0000010,48940027-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
860140,20163511multiint-0000010,48940044-20163511multiint-0000010,"Cap-Rouge (Ouest)",,1,,01400100,2
860140,20163511multiint-0000010,48940028-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
860140,20163511multiint-0000010,48940045-20163511multiint-0000010,"Cap-Rouge (Ouest)",,1,,01400100,2
860140,20163511multiint-0000010,48940029-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
860250,20163511multiint-0000010,48941460-20163511multiint-0000010,"Place D'Youville / Gare du Palais (Est)",,0,,02500029,2
